PERMNO,CUSIP,TICKER_CRDS,TICKER,Unnamed: 4
10002,05978R10,BTFG,BTFG,
10025,103110,AEPI,AEPI,
10026,46603210,JJSF,JJSF,
10028,2.94E+14,ELA,ELA,
10032,72913210,PLXS,PLXS,
10051,41043F20,HNGR,HNGR,
10085,90273710,UCI,UCI,
10092,35086510,KDE,KDE,
10100,2713510,ALRN,ALRN,
10116,00509L80,ACUR,ACUR,
10119,90130N10,TW,TW,
10137,1736110,AYE,AYE,
10143,67104010,OSIP,OSIP,
10158,2.36E+13,AMRC,AMRC,
10163,98385710,XRIT,XRIT,
10180,972810,AKRX,AKRX,
10182,87823710,TECD,TECD,
10200,75991610,RGEN,RGEN,
10201,04878Q86,AT,AT,
10211,95790710,WES,WES,
10220,05605H10,BWC,BWC,
10225,7373010,BEAM,BEAM,
10238,39091410,GLK,GLK,
10252,45383610,INDB,INDB,
10258,15117B20,CLDX,CLDX,
10259,82656510,SIGM,SIGM,
10271,57615210,MASB,MASB,
10272,87910110,TKLC,TKLC,
10290,41282410,HGIC,HGIC,
10297,51086610,LSBG,LSBG,
10302,23280610,CY,CY,
10304,2391210,AMFI,AMFI,
10308,89011010,TMP,TMP,
10318,5766520,BCPC,BCPC,
10333,98419J20,XOMA,XOMA,
10342,45323510,IMDC,IMDC,
10353,85812220,ADPT,ADPT,
10353,85812220,SXCL,SXCL,
10355,23391210,DJCO,DJCO,
10363,00163U10,AMAG,AMAG,
10371,13690710,CLZR,CLZR,
10382,4622410,ASTE,ASTE,
10383,23282430,CYTO,CYTO,
10395,63890410,NAVG,NAVG,
10397,95075510,WERN,WERN,
10404,76155720,DINE,DINE,
10421,83087910,SKYW,SKYW,
10443,30292L10,FRPH,FRPH,
10463,76091110,REFR,REFR,
10501,3050610,AMWD,AMWD,
10507,58449L10,MDCI,MDCI,
10514,48583710,TWMC,TWMC,
10517,74319R10,AAN,AAN,
10517,74319R10,PRG,PRG,
10530,58958410,VIVO,VIVO,
10547,18482P10,CLFD,CLFD,
10560,392410,ABY,ABY,
10563,44041F10,HRZB,HRZB,
10574,8265710,BNT,BNT,
10606,94274910,WTS,WTS,
10623,33615810,FRC,FRC,
10629,30252010,FNB,FNB,
10638,41285010,HNBC,HNBC,
10644,88337510,TGX,TGX,
10645,51179510,LAKE,LAKE,
10649,69314910,PTSI,PTSI,
10656,444610,ACET,ACET,
10657,758510,AD,AD,
10659,09057G60,BRLI,BRLI,
10667,35952W10,FSYS,FSYS,
10691,04362P20,ASCL,ASCL,
10693,29261A10,EHC,EHC,
10725,16090310,CF,CF,
10777,31946M10,FCNCA,FCNCA,
10785,13043910,CAMD,CAMD,
10791,82705610,SGI,SGI,
10812,42234710,HTLD,HTLD,
10822,36312730,GAN,GAN,
10825,83784110,TSFG,TSFG,
10828,5544610,BHAG,BHAG,
10838,23282860,CYTR,CYTR,
10843,4015710,AGII,AGII,
10853,76017410,RENT,RENT,
10860,68554V10,OSUR,OSUR,
10866,12950010,CAL,CAL,
10874,11704310,BC,BC,
10886,25551910,DXYN,DXYN,
10890,90921430,UIS,UIS,
10892,92932810,WSFS,WSFS,
