PERMNO,CUSIP,TICKER_CRDS,TICKER
10078,86681020,JAVA,JAVA
10104,68389X10,ORCL,ORCL
10107,59491810,MSFT,MSFT
10137,1736110,AYE,AYE
10138,74144T10,TROW,TROW
10145,43851610,HON,HON
10147,26864810,EMC,EMC
10225,7373010,BEAM,BEAM
10299,53567810,LLTC,LLTC
10324,37291710,GENZ,GENZ
10516,3948310,ADM,ADM
10696,33773810,FISV,FISV
10909,15678210,CERN,CERN
11081,24702R10,DELL,DELL
11308,19121610,KO,KO
11403,12738710,CDNS,CDNS
11404,20911510,ED,ED
11552,15102010,CELG,CELG
11600,24906P10,XRAY,XRAY
11618,31190010,FAST,FAST
11674,23333110,DTE,DTE
11703,26353410,DD,DD
11762,G2918310,ETN,ETN
11786,78486Q10,SIVB,SIVB
11850,30231G10,XOM,XOM
11891,55295310,MGM,MGM
11896,57772K10,MXIM,MXIM
11955,94106L10,WM,WM
11976,5592110,BMC,BMC
12052,36955010,GD,GD
12062,50540R40,LH,LH
12067,67000810,NVLS,NVLS
12073,71270410,PBCT,PBCT
12076,G8127610,SIG,SIG
12079,37044210,GM,GM
12140,38238810,GR,GR
12308,16119P10,CHTR,CHTR
12345,N5374510,LYB,LYB
12369,37045V10,GM,GM
12431,G8994E10,IR,IR
12431,G8994E10,TT,TT
12448,33616C10,FRC,FRC
12449,33904110,FLT,FLT
12456,62009710,MMI,MMI
12490,45920010,IBM,IBM
12542,G6518L10,NLSN,NLSN
12558,49456B10,KMI,KMI
12570,45073V10,ITT,ITT
12622,40412C10,HCA,HCA
12623,44641310,HII,HII
12650,48517030,KSU,KSU
12872,56585A10,MPC,MPC
12981,34964C10,FBHS,FBHS
13035,98419M10,XYL,XYL
13103,G6095L10,APTV,APTV
13141,98212B10,WPX,WPX
13142,G1890L10,KORS,KORS
13142,G1890L10,CPRI,KORS
13168,89694520,TRIP,TRIP
13299,63861C10,NSM,NSM
13356,71854610,PSX,PSX
13407,30303M10,FB,FB
13447,81762P10,NOW,NOW
13567,00101J10,ADT,ADT
13584,86765K10,SUN,SUN
13586,G7S00T10,PNR,PNR
13598,50076Q10,KRFT,KRFT
13641,25278X10,FANG,FANG
13688,69331C10,PCG,PCG
13721,00287Y10,ABBV,ABBV
13760,G6672110,NCLH,NCLH
13788,98978V10,ZTS,ZTS
13856,71344810,PEP,PEP
13901,02209S10,MO,MO
13911,46266C10,Q,Q
13911,46266C10,IQV,IQV
13928,20825C10,COP,COP
13936,69365610,PVH,PVH
13949,12514G10,CDW,CDW
13963,65249B10,NWSA,NWSA
13964,65249B20,NWS,NWS
13983,22207020,COTY,COTY
14008,3116210,AMGN,AMGN
14011,G5785G10,MNK,MNK
14029,53277110,LIN,LIN
14040,85207U10,S,S
14065,29413U10,EVHC,EVHC
14213,56632410,MMI,MMI
14277,80685710,SLB,SLB
14295,90184L10,TWTR,TWTR
14297,G0176J10,ALLE,ALLE
14338,43300A20,HLT,HLT
14541,16676410,CVX,CVX
14542,02079K10,GOOG,GOOG
14579,70432V10,PAYC,PAYC
14593,3783310,AAPL,AAPL
14601,63938C10,NAVI,NAVI
14656,86764P10,SUN,SUN
14702,3822210,AMAT,AMAT
14704,G4756710,INFO,INFO
14714,4041310,ANET,ANET
14763,14880610,CTLT,CTLT
14776,87165B10,SYF,SYF
14784,G6S01W10,PGN,PGN
14889,17461010,CFG,CFG
14939,49338L10,KEYS,KEYS
15069,56584910,MRO,MRO
15202,92916010,VMC,VMC
15291,29786A10,ETSY,ETSY
15331,G4863A10,IGT,IGT
15378,212020,LIFE,LIFE
15401,07177M10,BXLT,BXLT
15404,19828010,CPGX,CPGX
15408,50075410,KHC,KHC
15432,02083G10,NVLS,NVLS
15456,34484910,FL,FL
15488,70450Y10,PYPL,PYPL
15553,120410,GAS,GAS
15579,88250810,TXN,TXN
15707,42824C10,HPE,HPE
15719,35086T10,FCPT,FCPT
15797,12650T10,CSRA,CSRA
16048,G2583910,CCE,CCEP
16048,G2583910,CCEP,CCEP
16087,34959J10,FTV,FTV
16432,38255010,GT,GT
16538,G8711010,FTI,FTI
16600,42786610,HSY,HSY
16678,50104410,KR,KR
16692,45687V10,IR,IR
16752,2134610,AABA,AABA
16816,10922N10,BHF,BHF
16851,26614N10,DWDP,DWDP
16851,26614N10,DD,DWDP
17005,12665010,CVS,CVS
17023,81141R10,SE,SE
17034,2136910,ALTR,ALTR
17144,37033410,GIS,GIS
17223,00090Q10,ADT,ADT
17279,54414710,LO,LO
17478,78409V10,SPGI,SPGI
17743,8442310,WRB,WRB
17750,49436810,KMB,KMB
17820,72016210,PLL,PLL
17830,7.55E+14,UTX,RTX
17830,7.55E+14,RTX,RTX
17942,49271V10,KDP,KDP
18143,G5494J10,LIN,LIN
18163,74271810,PG,PG
18267,24703L20,DELL,DELL
18403,70816010,JCP,JCP
18411,84258710,SO,SO
18420,35137L10,FOXA,FOXA
18421,35137L20,FOX,FOX
18428,26055710,DOW,DOW
18542,14912310,CAT,CAT
18592,22052L10,CTVA,CTVA
18724,G0250X10,AMCR,AMCR
18729,19416210,CL,CL
18936,9837FR10,XL,XL
19166,30249130,FMC,FMC
19228,07373V10,BEAM,BEAM
19283,03966V10,ARNC,ARNC
19285,14448C10,CARR,CARR
19286,68902V10,OTIS,OTIS
19350,24419910,DE,DE
19393,11012210,BMY,BMY
19453,85206620,SII,SII
19495,26484T10,DNB,DNB
19502,93142710,WBA,WBA
19561,9702310,BA,BA
19583,G491BT10,IVZ,IVZ
19661,29358Q10,ESV,ESV
19807,92888110,VNT,VNT
20057,92556V10,VTRS,VTRS
20170,92647X87,SHLD,SHLD
20220,9179710,BDK,BDK
20415,47233W10,JEF,JEF
20482,282410,ABT,ABT
20626,26054310,DOW,DOW
21020,02376R10,AAL,AAL
21178,53983010,LMT,LMT
21186,96145D10,MWV,MWV
21186,96145D10,WRK,MWV
21207,65163910,NEM,NEM
21371,14149Y10,CAH,CAH
21573,46014610,IP,IP
21776,30161N10,EXC,EXC
21792,15189T10,CNP,CNP
21936,71708110,PFE,PFE
21979,G2414010,CBE,CBE
22103,29101110,EMR,EMR
22111,47816010,JNJ,JNJ
22293,21935010,GLW,GLW
22509,69350610,PPG,PPG
22517,69351T10,PPL,PPL
