date,rf
20040102,0.00003
20040105,0.00003
20040106,0.00003
20040107,0.00003
20040108,0.00003
20040109,0.00003
20040112,0.00003
20040113,0.00003
20040114,0.00003
20040115,0.00003
20040116,0.00003
20040120,0.00003
20040121,0.00003
20040122,0.00003
20040123,0.00003
20040126,0.00003
20040127,0.00003
20040128,0.00003
20040129,0.00003
20040130,0.00003
20040202,0.00003
20040203,0.00003
20040204,0.00003
20040205,0.00003
20040206,0.00003
20040209,0.00003
20040210,0.00003
20040211,0.00003
20040212,0.00003
20040213,0.00003
20040217,0.00003
20040218,0.00003
20040219,0.00003
20040220,0.00003
20040223,0.00003
20040224,0.00003
20040225,0.00003
20040226,0.00003
20040227,0.00003
20040301,0.00004
20040302,0.00004
20040303,0.00004
20040304,0.00004
20040305,0.00004
20040308,0.00004
20040309,0.00004
20040310,0.00004
20040311,0.00004
20040312,0.00004
20040315,0.00004
20040316,0.00004
20040317,0.00004
20040318,0.00004
20040319,0.00004
20040322,0.00004
20040323,0.00004
20040324,0.00004
20040325,0.00004
20040326,0.00004
20040329,0.00004
20040330,0.00004
20040331,0.00004
20040401,0.00004
20040402,0.00004
20040405,0.00004
20040406,0.00004
20040407,0.00004
20040408,0.00004
20040412,0.00004
20040413,0.00004
20040414,0.00004
20040415,0.00004
20040416,0.00004
20040419,0.00004
20040420,0.00004
20040421,0.00004
20040422,0.00004
20040423,0.00004
20040426,0.00004
20040427,0.00004
20040428,0.00004
20040429,0.00004
20040430,0.00004
20040503,0.00003
20040504,0.00003
20040505,0.00003
20040506,0.00003
20040507,0.00003
20040510,0.00003
20040511,0.00003
20040512,0.00003
20040513,0.00003
20040514,0.00003
20040517,0.00003
20040518,0.00003
20040519,0.00003
20040520,0.00003
20040521,0.00003
20040524,0.00003
20040525,0.00003
20040526,0.00003
20040527,0.00003
20040528,0.00003
20040601,0.00004
20040602,0.00004
20040603,0.00004
20040604,0.00004
20040607,0.00004
20040608,0.00004
20040609,0.00004
20040610,0.00004
20040614,0.00004
20040615,0.00004
20040616,0.00004
20040617,0.00004
20040618,0.00004
20040621,0.00004
20040622,0.00004
20040623,0.00004
20040624,0.00004
20040625,0.00004
20040628,0.00004
20040629,0.00004
20040630,0.00004
20040701,0.00005
20040702,0.00005
20040706,0.00005
20040707,0.00005
20040708,0.00005
20040709,0.00005
20040712,0.00005
20040713,0.00005
20040714,0.00005
20040715,0.00005
20040716,0.00005
20040719,0.00005
20040720,0.00005
20040721,0.00005
20040722,0.00005
20040723,0.00005
20040726,0.00005
20040727,0.00005
20040728,0.00005
20040729,0.00005
20040730,0.00005
20040802,0.00005
20040803,0.00005
20040804,0.00005
20040805,0.00005
20040806,0.00005
20040809,0.00005
20040810,0.00005
20040811,0.00005
20040812,0.00005
20040813,0.00005
20040816,0.00005
20040817,0.00005
20040818,0.00005
20040819,0.00005
20040820,0.00005
20040823,0.00005
20040824,0.00005
20040825,0.00005
20040826,0.00005
20040827,0.00005
20040830,0.00005
20040831,0.00005
20040901,0.00005
20040902,0.00005
20040903,0.00005
20040907,0.00005
20040908,0.00005
20040909,0.00005
20040910,0.00005
20040913,0.00005
20040914,0.00005
20040915,0.00005
20040916,0.00005
20040917,0.00005
20040920,0.00005
20040921,0.00005
20040922,0.00005
20040923,0.00005
20040924,0.00005
20040927,0.00005
20040928,0.00005
20040929,0.00005
20040930,0.00005
20041001,0.00005
20041004,0.00005
20041005,0.00005
20041006,0.00005
20041007,0.00005
20041008,0.00005
20041011,0.00005
20041012,0.00005
20041013,0.00005
20041014,0.00005
20041015,0.00005
20041018,0.00005
20041019,0.00005
20041020,0.00005
20041021,0.00005
20041022,0.00005
20041025,0.00005
20041026,0.00005
20041027,0.00005
20041028,0.00005
20041029,0.00005
20041101,0.00007
