PERMNO,CUSIP,TICKER_CRDS,TICKER
10104,68389X10,ORCL,ORCL
10107,59491810,MSFT,MSFT
10138,74144T10,TROW,TROW
10145,43851610,HON,HON
10401,195750,T,T
10516,3948310,ADM,ADM
10623,33615810,FRC,FRC
10696,33773810,FISV,FISV
10725,16090310,CF,CF
10909,15678210,CERN,CERN
11308,19121610,KO,KO
11403,12738710,CDNS,CDNS
11404,20911510,ED,ED
11600,24906P10,XRAY,XRAY
11618,31190010,FAST,FAST
11674,23333110,DTE,DTE
11703,26353410,DD,DD
11762,G2918310,ETN,ETN
11786,78486Q10,SIVB,SIVB
11850,30231G10,XOM,XOM
11891,55295310,MGM,MGM
11896,57772K10,MXIM,MXIM
11955,94106L10,WM,WM
12052,36955010,GD,GD
12060,36960410,GE,GE
12062,50540R40,LH,LH
12073,71270410,PBCT,PBCT
12079,37044210,GM,GM
12308,16119P10,CHTR,CHTR
12345,N5374510,LYB,LYB
12369,37045V10,GM,GM
12431,G8994E10,IR,IR
12431,G8994E10,TT,TT
12448,33616C10,FRC,FRC
12449,33904110,FLT,FLT
12490,45920010,IBM,IBM
12542,G6518L10,NLSN,NLSN
12558,49456B10,KMI,KMI
12622,40412C10,HCA,HCA
12623,44641310,HII,HII
12650,48517030,KSU,KSU
12872,56585A10,MPC,MPC
12981,34964C10,FBHS,FBHS
13035,98419M10,XYL,XYL
13103,G6095L10,APTV,APTV
13356,71854610,PSX,PSX
13407,30303M10,FB,FB
13447,81762P10,NOW,NOW
13586,G7S00T10,PNR,PNR
13641,25278X10,FANG,FANG
13721,00287Y10,ABBV,ABBV
13760,G6672110,NCLH,NCLH
13788,98978V10,ZTS,ZTS
13856,71344810,PEP,PEP
13901,02209S10,MO,MO
13911,46266C10,IQV,IQV
13928,20825C10,COP,COP
13936,69365610,PVH,PVH
13949,12514G10,CDW,CDW
13963,65249B10,NWSA,NWSA
13964,65249B20,NWS,NWS
14008,3116210,AMGN,AMGN
14029,53277110,LIN,LIN
14277,80685710,SLB,SLB
14295,90184L10,TWTR,TWTR
14297,G0176J10,ALLE,ALLE
14338,43300A20,HLT,HLT
14541,16676410,CVX,CVX
14542,02079K10,GOOG,GOOG
14579,70432V10,PAYC,PAYC
14593,3783310,AAPL,AAPL
14702,3822210,AMAT,AMAT
14704,G4756710,INFO,INFO
14714,4041310,ANET,ANET
14763,14880610,CTLT,CTLT
14776,87165B10,SYF,SYF
14889,17461010,CFG,CFG
14939,49338L10,KEYS,KEYS
15069,56584910,MRO,MRO
15202,92916010,VMC,VMC
15291,29786A10,ETSY,ETSY
15408,50075410,KHC,KHC
15488,70450Y10,PYPL,PYPL
15579,88250810,TXN,TXN
15707,42824C10,HPE,HPE
15720,28102010,EIX,EIX
15980,90431120,UA,UA
16087,34959J10,FTV,FTV
16431,51327210,LW,LW
16538,G8711010,FTI,FTI
16600,42786610,HSY,HSY
16678,50104410,KR,KR
16692,45687V10,IR,IR
16851,26614N10,DD,DD
17005,12665010,CVS,CVS
17144,37033410,GIS,GIS
17478,78409V10,SPGI,SPGI
17743,8442310,WRB,WRB
17750,49436810,KMB,KMB
17830,7.55E+14,RTX,RTX
18143,G5494J10,LIN,LIN
18163,74271810,PG,PG
18411,84258710,SO,SO
18420,35137L10,FOXA,FOXA
18421,35137L20,FOX,FOX
18428,26055710,DOW,DOW
18542,14912310,CAT,CAT
18592,22052L10,CTVA,CTVA
18724,G0250X10,AMCR,AMCR
18729,19416210,CL,CL
19166,30249130,FMC,FMC
19285,14448C10,CARR,CARR
19286,68902V10,OTIS,OTIS
19350,24419910,DE,DE
19393,11012210,BMY,BMY
19502,93142710,WBA,WBA
19561,9702310,BA,BA
19583,G491BT10,IVZ,IVZ
19807,92888110,VNT,VNT
20057,92556V10,VTRS,VTRS
20482,282410,ABT,ABT
20626,26054310,DOW,DOW
21020,02376R10,AAL,AAL
21178,53983010,LMT,LMT
21186,96145D10,WRK,WRK
21207,65163910,NEM,NEM
21371,14149Y10,CAH,CAH
21573,46014610,IP,IP
21776,30161N10,EXC,EXC
21792,15189T10,CNP,CNP
21936,71708110,PFE,PFE
22103,29101110,EMR,EMR
22111,47816010,JNJ,JNJ
22293,21935010,GLW,GLW
22509,69350610,PPG,PPG
22517,69351T10,PPL,PPL
22592,88579Y10,MMM,MMM
22752,58933Y10,MRK,MRK
22779,62007630,MSI,MSI
23026,33793210,FE,FE
23229,12589610,CMS,CMS
23309,43284810,HLT,HLT
23393,17134010,CHD,CHD
23473,17206210,CINF,CINF
23536,92939U10,WEC,WEC
23579,88320310,TXT,TXT
23660,17290810,CTAS,CTAS
23712,74457310,PEG,PEG
23819,40621610,HAL,HAL
23931,98389B10,XEL,XEL
24010,29364G10,ETR,ETR
24053,30034W10,EVRG,EVRG
24109,2553710,AEP,AEP
24205,65339F10,NEE,NEE
24643,44320110,HWM,HWM
24766,66680710,NOC,NOC
24985,2360810,AEE,AEE
25081,20034010,CMA,CMA
25232,68268010,OKE,OKE
25320,13442910,CPB,CPB
25419,96332010,WHR,WHR
25582,50243110,LHX,LHX
25785,34537086,F,F
25953,26000310,DOV,DOV
26112,24736110,DAL,DAL
26332,20619710,CE,CE
26403,25468710,DIS,DIS
26710,54042410,L,L
26825,48783610,K,K
27043,92220P10,VAR,VAR
27828,40434L10,HPQ,HPQ
27887,7181310,BAX,BAX
27959,26441C20,DUK,DUK
27983,98421M10,XRX,XRX
27991,72348410,PNW,PNW
28222,915810,APD,APD
28388,92904210,VNO,VNO
28484,42809H10,HES,HES
28804,1165910,ALK,ALK
30382,25666910,DG,DG
30681,68191910,OMC,OMC
30940,34354P10,FLS,FLS
32803,43610610,HFC,HFC
32870,44045210,HRL,HRL
32986,4956010,ATO,ATO
34032,57459910,MAS,MAS
34746,31677310,FITB,FITB
34817,67034610,NUE,NUE
34833,67459910,OXY,OXY
35044,7591EP10,RF,RF
35554,55261F10,MTB,MTB
36003,77571110,ROL,ROL
36468,82434810,SHW,SHW
37584,35461310,BEN,BEN
38093,36357610,AJG,AJG
38156,96945710,WMB,WMB
38703,94974610,WFC,WFC
38762,65473P10,NI,NI
39490,3741110,APA,APA
39642,7588710,BDX,BDX
39917,96216610,WY,WY
40125,23355L10,DXC,DXC
40272,45950610,IFF,IFF
40539,87254010,TJX,TJX
41080,23102110,CMI,CMI
41355,70109410,PH,PH
42200,71404610,PKI,PKI
42534,47836610,JCI,JCI
42585,83269640,SJM,SJM
42877,44565810,JBHT,JBHT
42906,44615010,HBAN,HBAN
43350,85450210,SWK,SWK
43449,58013510,MCD,MCD
43553,91820410,VFC,VFC
44206,30040W10,ES,ES
44329,87936910,TFX,TFX
44601,5361110,AVY,AVY
44644,5301510,ADP,ADP
45356,G5150210,JCI,JCI
45751,57174810,MMC,MMC
45911,83088M10,SWKS,SWKS
46578,18905410,CLX,CLX
46674,37246010,GPC,GPC
46703,44107P10,HST,HST
46886,48248010,KLAC,KLAC
47255,50247010,LB,LB
47896,46625H10,JPM,JPM
48020,35582T10,MSI,MSI
48486,51280710,LRCX,LRCX
48506,61536910,MCO,MCO
48653,44485910,HUM,HUM
48725,90781810,UNP,UNP
49015,53418710,LNC,LNC
49154,8.76E+14,TGT,TGT
49656,6405810,BK,BK
49680,23585110,DHR,DHR
50876,53245710,LLY,LLY
51369,88077010,TER,TER
51596,49455P10,KMI,KMI
52038,87182910,SYY,SYY
52090,57978020,MKC,MKC
52230,77032310,RHI,RHI
52329,46981410,J,J
52476,29442910,EFX,EFX
52484,5714910,BKR,BKR
52695,38480210,GWW,GWW
52708,52605710,LEN,LEN
52978,41805610,HAS,HAS
53065,46069010,IPG,IPG
53613,59511210,MU,MU
54148,74586710,PHM,PHM
55976,93114210,WMT,WMT
56274,20588710,CAG,CAG
56573,45230810,ITW,ITW
57568,5849810,BLL,BLL
57665,65410610,NKE,NKE
57904,105510,AFL,AFL
58246,66585910,NTRS,NTRS
58413,31374720,FRT,FRT
58683,84474110,LUV,LUV
58819,1880210,LNT,LNT
59010,36476010,GPS,GPS
59176,2581610,AXP,AXP
59192,17123210,CB,CB
59248,60871R20,TAP,TAP
59300,90265310,UDR,UDR
59328,45814010,INTC,INTC
59408,6050510,BAC,BAC
59459,8.94E+14,TRV,TRV
60097,G5960L10,MDT,MDT
60206,83303410,SNA,SNA
60442,69347510,PNC,PNC
60506,69371810,PCAR,PCAR
60599,15670010,LUMN,LUMN
60628,31428X10,FDX,FDX
60871,3265410,ADI,ADI
